review,sentiment
south african living south africa year stay uk sorry say movie huge disappointment three main problem movie swank ejiofor american nigerian play lead country bursting talent need import b gillian slovo trading struggle credential year mediocre writer even novel stand flaccid direction mr hooper c hilary swank great actor proved million dollar baby eastwood dressed contemporary new york style whilst roaming freely around poverty karoo consideration sensitivity needed costumer director yes film ultimately moving could overall mood conclusion one tremendous letdown heart right place need pace maker,0
future society military component recruit rather candidate chosen birth culled nursery designated spend entire life service government given war machine body soul reason protect serve personal identity name rank autonomy whatsoever fate whose destiny predetermined soldier directed paul anderson starring kurt russell scenario hard bleak movie begin depicting training soldier advancing period time preadolescence adulthood russell sergeant todd best best glimpse career discharge duty exemplary manner campaign campaign born soldier even best cannot go forever day arrives todd peer longer elite new generation soldier created product advanced genetics technology todd generation suddenly obsolete follows story man must fight life struggling discover sense humanity individuality trait new soldier known two thing entire life fear discipline russell give commanding performance todd soldier else must obey order without question suppressing emotion individual thought line movie russell speaks volume eye role demonstrates fact one appreciated actor time disappear entirely character todd credit ability part created someone quite different done given todd depth credibility someone lesser talent could easily rendered nothing pretentious superficial stereotype notable performance also turned connie nielsen sandra jason isaac colonel mekum rounding supporting cast jason scott lee memorable caine one new generation soldier sean pertwee mace gary busey captain church michael chiklis jimmy pig mark bringleson rubrick anderson delivered action film message cautionary tale transcends genre science fiction soldier reminds u importance keeping humanity life intact entertaining way making u consider alternative like bleak future world good movie make whole lot difference much like mad max movie ultimately uplifting going make take pause think kind universe must live together share rate one,1
sure legitimate submariner would happily ship usos seaview yes so could play full court basketball torpedo room large bout bay window bow better see giant squid minefield appear nowhere mention colorful mess cook parrot shoulder admiral stateroom appears loft big bleeping sub br br ok ok never gonna win prize authenticity sub laughable plot even worse somehow van allen belt radiation hundred mile space caught fire going make global warming look like weenie roast pompous admiral nelson walter pidgeon along sidekick lucius peter lorre looking suitably uncomfortable hatch scheme put fire firing missile midst br br plenty intrigue sic along way born survivor little dog two dame never leave well enough alone passel red shirt expendable plot hole big enough godzilla walk thrill seaview chased look like mile per hour another sub need advanced sonar follow foot astern br br movie careen one cliff hanger another payoff anticlimactic pointless certainly worth hour minute wait br br technical adviser shipwreck must year old boy stack popular mechanic magazine worth watching riff upon,0
remember worst film watched total waste actor audience time prefer sitting tv think film right film maybe film recorded make people believe moscow mystique past must say expect anything else rade serbedzija expected vincent gallo film lack plot character development denouement entire movie underground tunnel mystique must fair camera effect even poor picture total waste time,0
never understand studio like universal buy musical butcher bringing screen first thought seeing ava gardner robert walker starring would seeing something mgm musical best time boy wrong disappointed br br one touch venus starred mary martin kenny baker john bole broadway ran performance season gardner walker tom conway play role martin baker bole stage kurt weill ogden nash musical book nash j perelman comeback vehicle mary martin reestablished queen broadway disappointing venture hollywood br br look name went show given responsible book expected see sparkling wit production instead got rather pedestrian screenplay like wit drained best make eve arden playing usual girl friday role tom conway even much eve br br story concern department store window dresser robert walker kiss valuable statue venus spring life person ava gardner course statue go missing conway yell law suspicious walker last person statue br br rest film walker dealing gardner happen reason understand ava course dubbed eileen wilson walker sings couple line singing carried dick haymes olga san juan playing walker friend coworkers course broadway song done singer mary martin kenny baker would kind think haymes would playing walker role least awkward say least br br three song survived score look heart showing incomparable speak low haymes silken baritone shown best advantage speak low sung duet martin baker broadway reason lyric one greatest men verse last century ogden nash done ann ronnell suspect infamous code work br br lee server biography ava gardner make mention brief fling ava robert walker spat current man howard duff duff gardner reunited walker took badly speak gardner camera sure fact best work help matter either br br hopefully repertoire company one touch venus get see way weill nash perelman wrote,0
hmmm yeah episode extremely underrated br br even though lot bad writing acting part think good win bad br br love origami part big twist end absolutely love scene michelle confronts tony actually one favorite scene season br br reason people always hated reincarnation episode yet always liked best term writing theme really interest br br gonna give three star writing little consistent give four,1
first flicked onto log accidentally one night waching television since never missed episode br br humour weird like cross brass eye social commentary fast show excellent one liner amazing plot seems develop week without ever going anywhere best example hillary bris special stuff br br humour appeal say sick easy see coming nonetheless give try like watch like glad took advice,1
guy richie third proper film counting god awful swept away complex action thriller concerned gambling gangster chess fan richie previous effort probably hate revolver much twist turn richie stalwart jason statham play jake newly released ex con wreak revenge ridiculously named dorothy macha superbly ott ray liotta instead get embroiled couple con one andre rap outfit outkast throw u audience number red herring throughout film becomes extremely tedious high point mess movie bit restaurant dialogue get turned favour superbly shot slow mo shootout set beethoven moonlight sonata revolver flawed work truly awful far richie best would still lock stock film school homework assignment would graded must try harder,0
treading water beautiful movie would put straight wonderful short movie cosa bella fiona mackenzie coming also tolerance acceptance general looking forward seeing laurel himmel work future actor angie redman nina landey quite good main character relationship could strenghtened bit understand strong bond maybe could explained bit surprised angie redman appear much movie great first step director laurel himmel sure see skill,1
steven seagal appears sleepwalking dreadful movie shot almost entirely close disguise complete lack budget resource pick technical flaw silver f f take carrier air strike miraculously become camouflaged f actual strike would give movie credibility deserves suffice say interesting thing movie credit title fade disappear lightning wipe presumably available user final cut pro putting creativity credit put michael keusch category marcel mandu,0
yes fast time wannabe still decent entertainment br br comedy part really funny scene three guy visit spanish lady hilarious little flamenco music background reaction sailor husband come home riot guy exploit dealing crab funny well try drown visit pharmacist br br abortion scene fast time ripoff good job capturing terror situation really feel karen going gary mad scramble cash pay abortion accommodating recovery br br ending painful watch refreshingly realistic first time viewer prepared shock br br decent eye candy guy young girl milf spanish lady heterosexual guy probably want skip penis measuring competition br br underrated soundtrack check early early u car prime appropriate tearjerker song james ingram surprise ending br br people hate somewhat dated like teen flick grew early like,1
thing never understand underwear come pack three clearly thats enough example similarly never understand film brilliant approach film expecting actual movie might well approaching satan expecting hug although may well possible greet film satanic figure take pitch instance ineffectual camp unhellish portrayal devil since freddy mercury wayne sleep joined force create ten foot satan costume red body paint horn covered condom however create hilarious moment film ever seriously understatement applied every character bar little girl act sickly innocent probably overcompensating serious crime part santa inter space recon station real chance could avoided long put simply seen movie cannot consider serious buff achingly funny characterisation acting concept almost radar racism make must see film date pure laughter,1
pick one well needed brainer summer heat cover looked cool br br course known better really really bad movie get embarasing maker know bad try cover adding sexy beautiful woman sex scene well folk nt cut br br would like cool movie big reptile actually good well played funny go rent lake placid order,0
mmmm previous summary say like alien predator enjoy film could disagree film pay respect weighty lineage reduced two best loved sci fi strand little teen horror slasher movie none tension foreboding present previous alien predator movie discernible lead character really care character positively yearned see stereotypical cast die soon possible vain hope something better would replace really take super human incompetence two fearsome creature ever invented positively fail make gripping thrilling movie watch want see,0
still read single dan brown book watched movie adaptation fall game rate one previous scope really actually one thriller race time filled puzzle br br plot twisted imaginative cast excellent never great fan hank delivers well noticed jean shirt one spilled blood search one like vain italian searcher brilliant newcomer really applauded ewan macgregor portrayal inner faith calm really impressive br br really like debate science religion action taking place vatican felt like vacation last sure help add new convert christianism gold man presence displayed one would ask charity mean woman dismissed church life whereas stand half believer,1
started watching fay grim idea sequel henry fool latter movie envisioned sequel one arrived quite good assume seen original explain one start fay parker posey living son deadbeat henry thomas jay ryan simon james urbaniak still jail one day son get expelled bringing pornographic toy school ordinary toy hold secret explains much happened first movie secret delf deeper geopolitics syriana br br must say quite impressed hal hartley accomplished maybe one quite reach original quality certainly take good look going world end leaf open possibility another sequel br br also starring jeff goldblum,1
kid remember watching visiting friend uncle phil back dinosaur story silly cartoon dinosaur called rex voiced wonderful john goodman tell little boy dinosaur story dinosaur came back earth live explains part thing brought back along friend doctor professor villain film think might responsible back care kid might like personally cheesy john goodman probably decent thing poor,0
always joan hickson wonderful jane subtle sharp aware wish dwell acting skill praised enough site would like criticize smaller part rest cast seemed hand picked director david tucker br br liz fraser performance mr bent mother missing girl nora joy watch subtle deeply moving alcohol depending grieving mother love miss daughter desperately good long shot monologue thanks tucker enjoyed fullest moved saw first time broadcast moved dvd brava br br joanna hole madge tour guide find highly amusing edge acting role funny organized guide want good everyone bus find hilarious reaction boarded every one bus great always perform comedy one take seriously m hole br br hope two lady good career live holland know theater production googled performance screen deserve br br pieter,1
see movie believe raf others giving really awful bio believe authorized shirley temple based book child star give feeling awfully easy please br br first ashley rose orr whatever modest talent way shape form even resembles shirley temple enough cast sort straightforward biography world famous child star give indication child revered except trying hardest shirley impersonation never click level none whatsoever br br major handicap whole piece bad enough drama inherent shirley story climb almost overnight stardom completely white washed insipid writing peppered occasional song dance moment even approximate shirley example codfish ball buddy ebsen probably high point shirley choreographed dance routine br br simply putting girl polka dot dress make shirley temple none shirley brand charm warmth appeal even remotely suggested see display pale imitation original proving one shirley temple br br worthless write anything mess none others ordinary lifeless role advice shirley fan read book better still watch movie br br pit,0
recently friend discussing educational ethical influence growing versus today mentioned samuel taylor coleridge wrote rime ancient mariner u required recite part epic poem high school english literature course college friend said message even might called metaphysical within today context br br tried reciting remembered bit piece problem remembering dr seuss said get two copy poem could read easy enough extremely surprised find made film looked forward watching film see interpreted rime ancient mariner exactly light reading read poem watched film together br br considered film remarkable achievement especially considering made computer called ken burn effect special effect often began compensating lack substance particularly noteworthy th th century illustration culled lesser known artist willy pogany early hollywood designer br br film narrated sir michael redgrave taught poem schoolmaster adding tone authority credibility remaining true poem br br mastery layer subtle message conveyed without instructing becoming oppressive obvious morality tale found refreshing change today face clobber head mentality today morality message film two dimensional extreme violence murder mayhem mark bad bad really really bad good super hero human character lacked nuance rime ancient mariner celebration individual character appreciation celebrating richness life offer within larger context humanity e man capacity give others br br proud found unknown gem learned top award category five six time name international film festival another surprise learning film director raul dasilva recognized authority early animation authored six award winning book film br br film message relevant today coleridge penned original epic poem raul dasilva translated film still teaching high school five year grab one show student level richness naturally lead discussion big important issue u face whether today fact long humanity spiritual component br br highly recommended,1
movie fun board br br essentially follows comedic romp two grave robber th century england move conventional body snatching trafficking vampire zombie dead roswell alien idea roswell alien neither producer think br br funny bet even ron perlman often kiss direct dvd death pretty good one priest turn ringleader rival gang body snatcher br br real joy watch hilarious little film good example larger life ego either side camera,1
sweet sixteen minute director jim sotos cast bo hopkins susan strasberg aleisa shirley patrick macnee dana kimmell br br fifteen year old bad girl melissa new desert town long folk around start dying detective put together clue help nancy drew good girl daughter played friday th alumnus dana kimmell local native american prime suspect since seem upset prejudiced townsfolk event lead revealing killer melissa sixteenth birthday party br br average slasher memorable made tv feel without much score besides title character corny theme song play couple time throughout line like killer turn u coleslaw fit standard eighty slasher screenplay marci call melissa bad name somehow immediately develop friendship apparently marci see hard fit melissa know wear make movie would hard pressed made today main character fifteen director inserting multiple gratuitous close ups social commentary indian developed enough taken seriously surprised fairly high rating movie get sweet sixteen ed hunt bloody birthday potential capitalize time honored tradition birthday party create intense sequence carnage feel failed deliver bright side releasing obscure movie like dvd give hope others follow,0
became cult movie chinese college student though havnt watched broadcasted channel uk br br full arty giddy pretentions plot mediocre unreal spirit want convey independent artist resist commercisliation music industry maintain purity artistic soul wouldnt sell dirty money really giddy superficial diologue mainly pathetic acting poor sceenplay full art pretention fantasy movie kid br br,0
teen agers go old deserted farm house left one dead grandfather unaware several murder decade earlier grandfather made pact devil good harvest guy thought something better sell soul man grandson friend set next sacrifice reason never explained stereotypical teenage son girlfriend black guy white girlfriend two lesbian battle three killer scarecrow tricked like nearly fun sound mostly lot chit chat ball kicking dope smoking lead actor complaining never knowing parent camera work atrocious shaky maybe done hand held camcorder scene maybe good thing since scarecrow look like came kid birthday party apparently could hire two people play three scarecrow best movie seen low budget independent horror movie one pathetic cast crew seems made bunch people knew never acted intention acting thousand dollar believe movie cost make weekend free time hand even lesbian skinny dipping scene lame br br think amusing also writing sequel film one even bothered adding imdb br br rate highly skinny dipping scene matter lame may,0
enjoyed previous ittenbach movie seen burning moon movie rather grim nasty premutos seems mostly play laugh admirable ittenbach made movie money spare time dvd documentary worthwhile see found constantly battling fast forward next gore scene sure gore want go ahead enjoy warned inordinate amount lame comedy tedious story exposition many comparing peter jackson movie especially braindead looking jackson similar budget bad taste clear ittenbach lacking one thing jackson talent pretty good plentiful gore effect getting limited resource worth money paid,0
go many heist comedy might care one actor made first saw year later almost similar happening even though obviously much less serious comedy one mafia figure take kidnapping rather turn different direction altogether course raquel welch play kind sharp character faye dunaway happening make sexist film either practically playing stock character almost version moll completely biased among first film ever saw time saw turn around without seeing poster luckily think robert wagner really right neither thoroughly likable dis likable leader group edward g robinson naturally vittoria de sica godfrey cambridge actor always managed funny,1
man named jerry come possession ancient aztec doll however creepy little figure possessed evil spirit take jerry body push spill blood seen two horror movie dorm dripped blood kindred made stephen carpenter jeffrey obrow must say power disappoint either plot slow moving effective human goo effect little bit gore scene female tabloid reporter attacked arm come ripping mattress hoot liked low budget horror movie horror genre,1
firstly must admit good movie would never watch movie pacino br br movie publicist strange hour overworked dizzy sick sometimes regretful like character really boring minute may fall asleep understand pacino wanted part horrible movie money br br since avid pacino fan bought movie people know bought yet even think waste time,0
wonderful family film staple christmas time mystery true lost film first encountered flickering away old black white rca million dollar movie still vogue channel new york city rudolph mate directed fantasy nestled everyone christmas tree never released home video bad believe saw part amc year ago cut many older film rotation tcm take slack play easter christmas eve movie santa aunt bee hostess cupcake lady actor first name king bad ann blyth sally bundle energy school year rush chapel pray st ann help give guidance mixed financially strapped family work graduate place statue st ann bedroom one point entire moyne residence moved another address think done put end neighbor dispute moynes dastardly fellow next door blyth cute button edmund gwen play reclusive grandfather sleep satisfying movie experience,1
friend give huge box laserdiscs flash gordon serial say gonna giant coaster say serial rock whine moan almost everyone knew find laserdisc player em br br really little everything serial lion men hawk men shark men earthman guess call em mongo men set costume combine greek roman oriental egyptian even armour like english knight awesome costume riot horrible tights short em worn zarkov beyond description guy furnace scene seem wearing boxer br br also funny way renamed octopus octosack orangutan orangapoid tiger tigron even dragon godzilla like creature threatens flash couple occasion killed br br like invisible man got covered like sword fight wrestling animal men fist fight plenty taste underwater city sky city city top mountain tonne secret passage cave br br hokey effect massive amount sky city supported radium furnace stoked like old time steamship rocketships powered firework constant backfire humming noise lot wire visible holding thing like food flash invisible course rocketships cloud space none around earth viewed mongo giant lizard show briefly fighting sea creature supposedly threaten flash co way shark men underwater city gadget dr zarkov lab crack seem one matter lab worked ming lab vultan br br yeah romance everyone want dale ming vultan flash least one person wanted princess aura prince baron person would preferred fact seems lot sub plot concern intrigue part princess aura try win flash br br man think character awesome fat horse laughing king vultan hilarious managed wing pure artistry ming say ming perfect emperor starwars ming got favourite character serial princess aura quite little character pulled nicely think better actress dale arden long shot even sneaky high priest distinctive role zarkov good strongest character always stood background fight scene holding dale get flash flash course strong point leader hero well crabbe good actor role fit perfectly br br watching think know george lucas got main idea starwars watch see mean br br ever considered watching old serial serial matter first choice reason give one story hole could fixed easily way giant lizard seemed tacked couple weak character king shark men king lion men,1
another great film critic love problem good movie br br film premise simple nine convict escape prison tenth one go crazy tell treasure br br first half lot slapstick broad second half character driven descent fantasy melancholy br br two half simply mix individual scene work well guy crashing friend house new filipino bride hilarious later scene big guy working restaurant tug heartstrings simply mesh br br movie well missing entire set ups one scene show guy desperately looking change deserted vending machine buy snack next scene whole crew drag sitting restaurant get dress wig crew includes big guy midget get clothes money buy meal puzzling drag clearly guy drag let face anything memorable witness big guy dwarf eating meal dressed woman mention big guy dwarf besides old guy everyone else seems blend fact wear matching white jumpsuit throughout movie movie little character development first half result second half really lack emotional punch often trying figure individual payoff scene br br speaking drag second half wonderful sweeping camera shot big emotional moment great symbolism make great film also excruciatingly slow make boring movie br br soul big disappointment review gush great film somewhere good luck finding,0
plot film contains hole could drive massive truck reckon always top priority horror two elderly sister rural england keep brother cellar since year escaped started killing spree focusing military homed nearby thought best keep repeating  strangely  army officer love woman doubt sincerity even though men died know whether find revelation near end suspenseful tedious way film reminded arsenic old lace black comedy classic two half insane sibling mother goofy younger brother well yet killing old lady beast cellar mean less crazy though horror early film amateurish cheap neat attempt build tension many old lady talk good ol day though rarely something seek horror film appealing title flora robson may recognized classic film buff play one sister gave image queen england legendary errol flynn swashbuckler film sea hawk,0
ok wile e coyote road runner cartoon know wec going set sort trap rr always maim various way certainly happens beep beep predictable guess think cartoon show try harm someone else get harmed sort like daffy duck always try undermine bug bunny integrity bug see around br br overall another classic termite terrace crowd sometimes think really wanted ease cold war tension could let soviet union see looney tune cartoon sure would loved another great one br br p learned jeopardy wile e coyote middle name ethelbert,1
know extraordinary film never made available officially dvd anthony quinn performance alone make must see relatively film actor identifies profoundly character phenomenon always unique u moviegoer br br quinn powerful portrayal innocent romanian literally dragged house everyday life force cannot comprehend part make film great script based book published paris romanian priest fled communist take country film succeeds go deep little known area east european history told succession kafka esquire twist fate misadventure johann moritz told openly honestly without political correctness currently precious hollywood fact eulogy lost innocence romanian people devilishly ironic eulogy signed french director working american money italian producer overseeing multinational cast fronted extraordinary mexican born thespian br br seen mention vcds film various asian internet store fortunate take possession digital recording film broadcast british version tcm shame th hour anywhere future dvd release map mgm studio,1
certain genius behind movie laughing throughout scene phone sex office discussing love heals doppelganger nice attempt genius humor execution poor see writer message talent doppelganger split end like ok quite expecting let see movie say certainly ridiculous sweet idea actually coherent story strange way br br point movie logical entertaining communicate emotional level easily bored many movie one kept interest throughout br br think story may auto biographical root guess horribly bad good looking movie person may done experience,1
based actual story john boorman show struggle american doctor whose husband son murdered continually plagued loss holiday burma sister seemed like good idea get away passport stolen rangoon could leave country sister forced stay back could get paper american embassy fill day could fly took trip countryside tour guide tried finding something stone statue nothing stirred stone br br suddenly hell broke loose caught political revolt looked like escaped safely boarded train saw tour guide get beaten shot split second decided jump moving train try rescue thought continually life danger br br woman demonstrated spontaneous selfless charity risking life save another patricia arquette beautiful look beautiful heart unforgettable story br br taught suffering one promise life always keep,1
hilariously obvious drama bunch high school think kid enjoy non stop hip hop break dancing graffiti trying become dj roxy something totally honest bored forgot even people love music agree movie terribly acted drama failed dismally supposed find kid likable nice found bland boring one really hated ramon graffiti subway train looked upon great excuse defacing public property begin also great kid tap city electricity hold big dance party abandoned building uh huh supposed find bunch law breaker lovable fun br br could forgive music good stand hip hop song best mediocre nonstop always playing got point fast forwarding many endless music number cut music haver minute movie maybe imaginative number subway dance fight truly funny santa number climatic roxy show love hip hop movie looking good drama mixed forget also get pg rating incredible amount swearing,0
read couple good review board mr scarface anyone uninitiated genre italian gangster film like picture probably make little sense indeed initial setup involving ten million lira scam picture devolved fairly routine revenge flick minor twist identity rick al cliver character whole gang war plot got muddied inclusion vinchenzo napoli vittorio caprioli viewer commented one gave picture life often ineffective attempt violence found somewhat unbelievable manzari goon chased tony street actually stroke tony even laid hand buildup title character jack palance wasted rather unceremoniously anticlimactic near finale making u working title mr scarface rather moot seen enough spaghetti western know work guess case first look spaghetti gangster flick quite make either,0
movie received great write blockbuster coming attraction looking forward release date plot sound reasonable cast alone guaranteed side splitter whoa apart wall betting event quite bore br br never become comedy classic afraid done help fine comedy reputation john cleese rowan atkinson quite funny rowan atkinson sort way,0
listen people ill give better review movie friend love jill johnson played camilla belle babysits mendrakis house someone break wondering got house went garage likely anyway listen worst acting amazing acting great story think benefit jill shes fast runner track team got alive lol br br cool movie quite scary check happy masterpiece listen people site good trust good reviewing movie future movie critic totally want buy movie see amazingly awesome,1
seeing forever hollywood would natural want see john water film least one get say joined legion cinema cognoscenti experienced unique cinematic stylings perhaps best known non mainstream director worth effort pf lot better eraserhead certain campiness film follower find addicting,0
excellent performance still good actor around also great directing photography true shakespear must shakespear fan macbeth jason connery moved tear final monolog brief candle gave sphere moral decay dark force human face make interesting helen baxendale credible lady macbeth cheerfull time sometimes look like naughty girl deadly taste blood evil love death decay shakespears lyric one,1
saw picture would like secure dvd film greatest adventure time like epic still entertainment marvel b w get sense real bonded friendship chemistry actor performance sam jaffe eduardo cianelli outstanding could done today particularly liked ending colonel recites end kipling poem body gunga din tell untouchable better man gunga din make movie character today cast member still alive today joan fontaine,1
saying movie extremely hard follow frustrating sit putting mildly also saying current available print dark dreary scratchy abysmally edited painfully dubbed seemingly censored almost unwatchable shape also correct film dire need good remastering full uncut original negative seeing reasonably atmospheric director award catalonia film festival might actually worth trouble maybe impossible tell current condition kind movie actually start fairly interesting discount completely senseless pre credit opening sequence involves deranged cat killing snake loving little girl named gerda girl mom carla mónica randall laid eyeliner little bit splash gasoline around garage torch brat seemingly crazy young gerda go visit estranged photographer ex boyfriend mario john cihangir caffari vacation work desperate get away carla begs employer set assignment assignment scowl sorry head door well mario assigned photograph witch mountain somewhere pyrenees believe get destination get sight hottie beach named delia patty shepard snap picture taking bikini top slightly peeved claim single writer two flirt decide would swell idea went trip mountain together stop place pack bag mario suddenly hears loud sinister music delia claim hearing thing br br two begin trip mountain taking stop local inn spend night encounter weird partially deaf crazy eyed innkeeper victor israel delia claim someone spying window next day trance wanders mountain eventually located mario hop jeep run finding someone steal wheel forced walk piece eventually finding jeep undamaged foot small ancient seeming abandoned village almost like someone trying intentionally lure well see exactly happened village encounter friendly old woman named zanta ana farra claim person still living let stay home mario take picture abandoned city develops eerily full people slightly creeped delia begin leave get stuck treacherous fog pull camp night rest movie voodoo doll black cat transforming sexy woman satanic ritual performed lady bra deadly fall cliff yeah coincidentally carla estranged wife turn one witch take place semi darkness quite honest know hell going time inconclusive open ending additional slap face anyone suffer rest senseless mess br br honestly thing stand really good first actress shepard great barbara steele kind dark mysterious beauty also excellent music score credited fernando garcia morcillo chanting song aided immensely making film atmospheric location work fairly decent said print ugly make lick sense proceed caution one,0
independent b w dv feature consistently shock amazes amuses ability create insane situation find humor interest hilarious ridiculous stuff yet absurd much film heart reality keep film grounded keep entire piece drifting complete craziness therein lie real message film survive world gone mad seems heart film insane wall thing get leon yr old paperboy protagonist always try keep together like child forever trying catch balloon floating away everything work best everyone want br br acting film could went far top exceptional cast really keep piece cohesive van meter perhaps best bunch performance shine absurd diseased tic character film overlook sudden outburst see real person underneath br br majkowski true genius take utmost ridiculous plot twist keep real script cast help keep whole thing afloat true testament skill majkowski involved film grating plot character never work nerve majkowski taken film could abrasive repugnant somehow given heart humor unique film missed br br,1
show great episode one terrible episode hard follow man death house dig cat real gone br br episode couple married peggy ammanda plummer charles stephen shellen first five minute find charles married peggy money two go honeymoon car break dirt road seek refuge old abandon mansion charles soon find secret peggy family br br opinion watch episode expect feeling rest episode first season,0
